DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
10/21/19,31169883,Pott J,6/6/19,J Clin Endocrinol Metab,www.ncbi.nlm.nih.gov/pubmed/31169883,Genetic association study of eight steroid hormones and implications for sexual dimorphism of coronary artery disease.,DHEAS levels,"4,301 European ancestry men, 3,358 European ancestry women",NA,Xp22.31,X,7004037,NR,PUDP,,,ENSG00000130021,,,rs5935876-A,rs5935876,0,5935876,intron_variant,0,0.374,2.00E-08,7.698970004,(women),0.188607,[0.12-0.25] unit decrease,Affymetrix [up to 8900000] (imputed),N,dehydroepiandrosterone sulphate measurement,http://www.ebi.ac.uk/efo/EFO_0007001,GCST008883,Genome-wide genotyping array
10/21/19,31169883,Pott J,6/6/19,J Clin Endocrinol Metab,www.ncbi.nlm.nih.gov/pubmed/31169883,Genetic association study of eight steroid hormones and implications for sexual dimorphism of coronary artery disease.,DHEAS levels,"4,301 European ancestry men, 3,358 European ancestry women",NA,Xp22.31,X,7004037,NR,PUDP,,,ENSG00000130021,,,rs5935876-A,rs5935876,0,5935876,intron_variant,0,0.374,8.00E-09,8.096910013,,0.0971084,[0.064-0.13] unit decrease,Affymetrix [up to 8900000] (imputed),N,dehydroepiandrosterone sulphate measurement,http://www.ebi.ac.uk/efo/EFO_0007001,GCST008883,Genome-wide genotyping array
9/23/16,26502338,Bentham J,10/26/15,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/26502338,Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus.,Systemic lupus erythematosus,"5,201 European ancestry cases, 9,066 European ancestry controls","2,018 European ancestry cases, 6,925 European ancestry controls",Xp21.2,X,30559729,CXorf21,CXorf21,,,ENSG00000120280,,,rs887369-C,rs887369,0,887369,synonymous_variant,0,,5.00E-10,9.301029996,,1.15,[1.10–1.21],Illumina [644674],N,systemic lupus erythematosus,http://www.ebi.ac.uk/efo/EFO_0002690,GCST003155,Genome-wide genotyping array
9/23/16,26502338,Bentham J,10/26/15,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/26502338,Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus.,Systemic lupus erythematosus,"5,201 European ancestry cases, 9,066 European ancestry controls","2,018 European ancestry cases, 6,925 European ancestry controls",Xq28,X,154059995,"IRAK1, MECP2, ARHGAP4, NAA10, RENBP, HCFC1, TMEM187, MIR718",MECP2,,,ENSG00000169057,,,rs1734787-C,rs1734787,0,1734787,non_coding_transcript_exon_variant,0,,2.00E-15,14.69897,,1.31,[1.22–1.40],Illumina [644674],N,systemic lupus erythematosus,http://www.ebi.ac.uk/efo/EFO_0002690,GCST003155,Genome-wide genotyping array
7/17/19,28552196,Tachmazidou I,6/1/17,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/28552196,Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.,Height,"1,249 whole genome sequenced European ancestry individuals, 3,541 whole genome sequenced individuals, 46,910 European ancestry individuals, 471 Carlantino (founder/genetic isolate) individuals, 1,197 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,043 Mylopotamos (founder/genetic isolate) individuals, 933 Pomak (founder/genetic isolate) individuals, 1,785 Val Borbera (founder/genetic isolate) individuals","205,003 European ancestry individuals",Xq25,X,121894387,RP13-192B19.2,AL359851.1 - AL441985.1,ENSG00000260585,ENSG00000237891,,17522,116589,rs146456039-T,rs146456039,0,146456039,intergenic_variant,1,0.9871,3.00E-06,5.522878745,,0.3801,[0.22-0.54] unit decrease,"Affymetrix, Illumina, Perlegen [15844966] (imputed)",N,body height,http://www.ebi.ac.uk/efo/EFO_0004339,GCST008163,Genome-wide genotyping array
7/17/19,28552196,Tachmazidou I,6/1/17,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/28552196,Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.,Height,"1,249 whole genome sequenced European ancestry individuals, 3,541 whole genome sequenced individuals, 46,910 European ancestry individuals, 471 Carlantino (founder/genetic isolate) individuals, 1,197 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,043 Mylopotamos (founder/genetic isolate) individuals, 933 Pomak (founder/genetic isolate) individuals, 1,785 Val Borbera (founder/genetic isolate) individuals","205,003 European ancestry individuals",Xq27.3,X,147711152,RP11-434J24.2,AL009048.1 - AC016925.1,ENSG00000228855,ENSG00000227505,,119243,89853,rs35011652-A,rs35011652,0,35011652,intergenic_variant,1,0.9885,3.00E-06,5.522878745,,0.417,[0.24-0.59] unit decrease,"Affymetrix, Illumina, Perlegen [15844966] (imputed)",N,body height,http://www.ebi.ac.uk/efo/EFO_0004339,GCST008163,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106631560,CXorf57,RADX,,,ENSG00000147231,,,rs4355941-?,rs4355941,0,4355941,intron_variant,0,,5.00E-06,5.301029996,,1.4151481,[1.23-1.63],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106585073,Intergenic,AL590808.1 - RADX,ENSG00000277673,ENSG00000147231,,18912,26857,rs4456003-?,rs4456003,0,4456003,intergenic_variant,1,,8.00E-06,5.096910013,,2.1720865,[1.57-3.00],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107370118,Intergenic,DNAJA1P3 - KRT18P49,ENSG00000215007,ENSG00000214720,,17275,58512,rs4826965-?,rs4826965,0,4826965,intergenic_variant,1,,2.00E-07,6.698970004,,1.6855829,[1.40-2.03],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106313139,Intergenic,PWWP3B - AL133271.1,ENSG00000157502,ENSG00000256709,,104183,14395,rs55916943-?,rs55916943,0,55916943,intergenic_variant,1,,2.00E-10,9.698970004,,2.0607867,[1.67-2.60],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107210017,PIH1D3,PIH1D3,,,ENSG00000080572,,,rs75475662-?,rs75475662,0,75475662,intron_variant,0,,9.00E-06,5.045757491,,2.5665662,[1.72-3.80],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106816683,"TBC1D8B, MORC4","MORC4, TBC1D8B",,,"ENSG00000133131, ENSG00000133138",,,rs76047242-?,rs76047242,0,76047242,intron_variant,0,,1.00E-06,6,,2.172843,[1.61-2.90],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106983213,MORC4,MORC4,,,ENSG00000133131,,,rs11092578-?,rs11092578,0,11092578,intron_variant,0,,1.00E-06,6,,1.512408,[1.29-1.77],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107174072,NUP62CL,NUP62CL,,,ENSG00000198088,,,rs112460630-?,rs112460630,0,112460630,intron_variant,0,,7.00E-06,5.15490196,,1.9435148,[1.48-2.56],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107296299,Intergenic,MYCLP1 - DNAJA1P3,ENSG00000204053,ENSG00000215007,,22643,55351,rs113340515-?,rs113340515,0,113340515,intergenic_variant,1,,3.00E-06,5.522878745,,2.121975,[1.57-2.86],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106730962,RNF128,RNF128,,,ENSG00000133135,,,rs149055315-?,rs149055315,0,149055315,intron_variant,0,,2.00E-09,8.698970004,,2.5756361,[1.92-3.40],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107011960,Intergenic,MORC4 - EEF1A1P40,ENSG00000133131,ENSG00000231144,,11748,20288,rs1927309-?,rs1927309,0,1927309,intergenic_variant,1,,5.00E-06,5.301029996,,1.6174753,[1.33-1.96],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq21.31,X,87315170,Intergenic,AL590229.1 - Z96811.1,ENSG00000200422,ENSG00000230478,,168366,110413,rs2138717-?,rs2138717,0,2138717,intergenic_variant,1,,3.00E-06,5.522878745,,1.613316,[1.33-2.00],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107434651,Intergenic,KRT18P49 - FRMPD3-AS1,ENSG00000214720,ENSG00000227610,,5190,78332,rs2179628-?,rs2179628,0,2179628,intergenic_variant,1,,1.00E-07,7,,2.4949129,[1.82-3.40],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106834287,"TBC1D8B, MORC4","TBC1D8B, MORC4",,,"ENSG00000133138, ENSG00000133131",,,rs34689332-?,rs34689332,0,34689332,intron_variant,0,,4.00E-13,12.39794001,,2.313175,[1.85-2.90],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
7/17/19,28552196,Tachmazidou I,6/1/17,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/28552196,Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.,Height,"1,249 whole genome sequenced European ancestry individuals, 3,541 whole genome sequenced individuals, 46,910 European ancestry individuals, 471 Carlantino (founder/genetic isolate) individuals, 1,197 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,043 Mylopotamos (founder/genetic isolate) individuals, 933 Pomak (founder/genetic isolate) individuals, 1,785 Val Borbera (founder/genetic isolate) individuals","205,003 European ancestry individuals",Xp11.22,X,54204826,WNK3,WNK3,,,ENSG00000196632,,,rs181138007-T,rs181138007,0,181138007,intron_variant,0,0.0021,4.00E-06,5.397940009,,0.6624,[0.38-0.94] unit decrease,"Affymetrix, Illumina, Perlegen [15844966] (imputed)",N,body height,http://www.ebi.ac.uk/efo/EFO_0004339,GCST008163,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106917472,"MORC4, CLDN2","CLDN2, MORC4",,,"ENSG00000165376, ENSG00000133131",,,rs12008279-?,rs12008279,0,12008279,intron_variant,0,,6.00E-15,14.22184875,,1.7078514,[1.52-1.90],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106940440,MORC4,MORC4,,,ENSG00000133131,,,rs12014762-?,rs12014762,0,12014762,intron_variant,0,,2.00E-19,18.69897,,2.2197094,[1.89-2.60],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107131628,"NUP62CL, RP13-383K5.4",NUP62CL,,,ENSG00000198088,,,rs12688091-?,rs12688091,0,12688091,intron_variant,0,,1.00E-32,32,,2.570683,[2.22-2.90],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107230661,PIH1D3,PIH1D3,,,ENSG00000080572,,,rs12847061-?,rs12847061,0,12847061,intron_variant,0,,4.00E-14,13.39794001,,2.7257426,[2.13-3.40],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107123872,NUP62CL,NUP62CL,,,ENSG00000198088,,,rs1285582-?,rs1285582,0,1285582,3_prime_UTR_variant,0,,2.00E-17,16.69897,,1.918779,[1.66-2.21],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107158099,NUP62CL,NUP62CL,,,ENSG00000198088,,,rs1285594-?,rs1285594,0,1285594,intron_variant,0,,1.00E-08,8,,1.8754969,[1.54-2.30],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107281285,Intergenic,MYCLP1 - DNAJA1P3,ENSG00000204053,ENSG00000215007,,7629,70365,rs12857658-?,rs12857658,0,12857658,intergenic_variant,1,,6.00E-10,9.22184875,,2.5855854,[1.96-3.40],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107043226,Intergenic,EEF1A1P40 - RBM41,ENSG00000231144,ENSG00000089682,,10406,21194,rs1298993-?,rs1298993,0,1298993,regulatory_region_variant,1,,3.00E-07,6.522878745,,1.595169,[1.35-1.89],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106504267,Intergenic,NAP1L4P2 - SERPINA7P1,ENSG00000224816,ENSG00000227657,,36827,58507,rs138520829-?,rs138520829,0,138520829,intergenic_variant,1,,2.00E-07,6.698970004,,2.1889462,[1.67-2.90],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106964394,MORC4,MORC4,,,ENSG00000133131,,,rs141052845-?,rs141052845,0,141052845,intron_variant,0,,2.00E-12,11.69897,,2.9180622,[2.22-3.80],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,106768355,RNF128,RNF128,,,ENSG00000133135,,,rs148655558-?,rs148655558,1,112674475,intron_variant,0,,1.00E-24,24,,2.219048,[1.92-2.60],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
10/9/17,28754779,Rosendahl J,7/28/17,Gut,www.ncbi.nlm.nih.gov/pubmed/28754779,Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis.,Alcoholic chronic pancreatitis,"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls",NA,Xq22.3,X,107318205,Intergenic,MYCLP1 - DNAJA1P3,ENSG00000204053,ENSG00000215007,,44549,33445,rs148771016-?,rs148771016,0,148771016,intergenic_variant,1,,4.00E-11,10.39794001,,2.8437448,[2.13-3.80],Illumina [9389922] (imputed),N,alcoholic pancreatitis,http://www.ebi.ac.uk/efo/EFO_1002013,GCST004860,Genome-wide genotyping array
7/17/19,28552196,Tachmazidou I,6/1/17,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/28552196,Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.,Hip circumference adjusted for BMI,"1,247 whole genome sequenced European ancestry individuals, 3,052 whole genome sequenced individuals, 29,518 European ancestry individuals, 400 Carlantino (founder/genetic isolate) individuals, 831 Friuli Venezia Giulia (founder/genetic isolate) individuals, 998 Mylopotamos (founder/genetic isolate) individuals, 871 Pomak (founder/genetic isolate) individuals","205,905 European ancestry individuals",Xp11.23,X,49950463,CLCN5,CLCN5,,,ENSG00000171365,,,rs782567961-A,rs782567961,0,782567961,intron_variant,0,0.9978,3.00E-07,6.522878745,,1.3772,[0.85-1.9] unit increase,"Affymetrix, Illumina, Perlegen [15844966] (imputed)",N,BMI-adjusted hip circumference,http://www.ebi.ac.uk/efo/EFO_0008039,GCST008156,Genome-wide genotyping array
4/10/19,27680694,Horikoshi M,10/13/16,Nature,www.ncbi.nlm.nih.gov/pubmed/27680694,Genome-wide associations for birth weight and correlations with adult disease.,Birth weight,"133,903 European ancestry individuals","9,799 European ancestry individuals",Xq26.3,X,134693838,PLAC1,PLAC1,,,ENSG00000170965,,,rs11096402-G,rs11096402,0,11096402,intron_variant,0,NR,1.00E-09,9,,0.0276,[0.019-0.036] unit increase,"Affymetrix, Illumina [at least 22434434] (imputed)",N,birth weight,http://www.ebi.ac.uk/efo/EFO_0004344,GCST007557,Genome-wide genotyping array
7/11/17,28441456,Lee MK,4/25/17,PLoS One,www.ncbi.nlm.nih.gov/pubmed/28441456,Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.,"Facial morphology (factor 14, intercanthal width)","2,187 European ancestry individuals",NA,Xq13.1,X,72621579,NR,PHKA1,,,ENSG00000067177,,,rs6624621-G,rs6624621,0,6624621,intron_variant,0,0.3864,2.00E-07,6.698970004,,0.1379,[0.086-0.19] unit increase,Illumina [10677593] (imputed),N,eye morphology measurement,http://www.ebi.ac.uk/efo/EFO_0007858,GCST004318,Genome-wide genotyping array
7/11/17,28441456,Lee MK,4/25/17,PLoS One,www.ncbi.nlm.nih.gov/pubmed/28441456,Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.,"Facial morphology (factor 14, intercanthal width)","2,187 European ancestry individuals",NA,Xq13.2,X,73069628,PABPC1L2B-AS1,PABPC1L2B - PABPC1L2A,ENSG00000184388,ENSG00000186288,,63522,7648,rs11093404-A,rs11093404,0,11093404,intergenic_variant,1,0.2417,1.00E-08,8,,0.1745,[0.11-0.23] unit increase,Illumina [10677593] (imputed),N,eye morphology measurement,http://www.ebi.ac.uk/efo/EFO_0007858,GCST004318,Genome-wide genotyping array
